,coffee_id,species,country_of_origin,continent,total_cup_points,cupper_points,aroma,flavor,aftertaste,acidity,body,balance,high_quality
0,1,Arabica,Ethiopia,Africa,90.58,8.75,8.67,8.83,8.67,8.75,8.5,8.42,1
1,2,Arabica,Ethiopia,Africa,89.92,8.58,8.75,8.67,8.5,8.58,8.42,8.42,1
2,3,Arabica,Guatemala,North America,89.75,9.25,8.42,8.5,8.42,8.42,8.33,8.42,1
3,4,Arabica,Ethiopia,Africa,89.0,8.67,8.17,8.58,8.42,8.42,8.5,8.25,1
4,5,Arabica,Ethiopia,Africa,88.83,8.58,8.25,8.5,8.25,8.5,8.42,8.33,1
5,6,Arabica,Brazil,South America,88.83,8.33,8.58,8.42,8.42,8.5,8.25,8.33,1
6,7,Arabica,Peru,South America,88.75,8.5,8.42,8.5,8.33,8.5,8.25,8.25,1
7,8,Arabica,Ethiopia,Africa,88.67,9.0,8.25,8.33,8.5,8.42,8.33,8.5,1
8,9,Arabica,Ethiopia,Africa,88.42,8.67,8.67,8.67,8.58,8.42,8.33,8.42,1
9,10,Arabica,Ethiopia,Africa,88.25,8.5,8.08,8.58,8.5,8.5,7.67,8.42,1
10,11,Arabica,Ethiopia,Africa,88.08,8.58,8.17,8.67,8.25,8.5,7.75,8.17,1
11,12,Arabica,United States of America,North America,87.92,8.5,8.25,8.42,8.17,8.33,8.08,8.17,1
12,13,Arabica,United States of America,North America,87.92,8.33,8.08,8.67,8.33,8.42,8.0,8.08,1
13,14,Arabica,United States of America,North America,87.92,8.58,8.33,8.42,8.08,8.25,8.25,8.0,1
14,15,Arabica,Ethiopia,Africa,87.83,8.5,8.25,8.33,8.5,8.25,8.58,8.75,1
15,16,Arabica,United States of America,North America,87.58,8.17,8.0,8.5,8.58,8.17,8.17,8.0,1
16,17,Arabica,Indonesia,Asia,87.42,8.33,8.33,8.25,7.83,7.75,8.5,8.42,1
17,18,Arabica,Ethiopia,Africa,87.33,8.83,8.17,8.33,8.25,8.33,8.42,8.33,1
18,19,Arabica,China,Asia,87.25,8.42,8.42,8.25,8.08,8.17,7.92,8.0,1
19,20,Arabica,Ethiopia,Africa,87.25,8.33,8.17,8.17,8.0,8.17,8.08,8.33,1
20,21,Arabica,United States of America,North America,87.25,8.17,8.0,8.25,8.08,8.5,8.25,8.0,1
21,22,Arabica,Costa Rica,North America,87.17,8.33,8.08,8.25,8.0,8.17,8.0,8.33,1
